log10(dx) log10(L2)
-0.207372E+01 -0.664339E+01
-0.207555E+01 -0.664611E+01
-0.207737E+01 -0.664877E+01
-0.207918E+01 -0.665153E+01
-0.208099E+01 -0.665381E+01
-0.208279E+01 -0.665595E+01
-0.208458E+01 -0.665908E+01
-0.208636E+01 -0.666176E+01
-0.208814E+01 -0.666446E+01
-0.208991E+01 -0.666612E+01
-0.209167E+01 -0.666874E+01
-0.209342E+01 -0.667189E+01
-0.209517E+01 -0.667448E+01
-0.209691E+01 -0.667617E+01
-0.209864E+01 -0.667908E+01
-0.210037E+01 -0.668136E+01
-0.210209E+01 -0.668341E+01
-0.210380E+01 -0.668600E+01
-0.210551E+01 -0.668850E+01
-0.210721E+01 -0.669112E+01
-0.210890E+01 -0.669351E+01
-0.211059E+01 -0.669561E+01
-0.211227E+01 -0.669862E+01
-0.211394E+01 -0.670116E+01
