log10(dx) log10(L_inf)
-0.208814E+01 -0.554992E+01
-0.208991E+01 -0.555082E+01
-0.209167E+01 -0.555258E+01
-0.209342E+01 -0.555472E+01
-0.209517E+01 -0.555640E+01
-0.209691E+01 -0.555732E+01
-0.209864E+01 -0.555928E+01
-0.210037E+01 -0.556083E+01
-0.210209E+01 -0.556196E+01
-0.210380E+01 -0.556372E+01
-0.210551E+01 -0.556537E+01
-0.210721E+01 -0.556712E+01
-0.210890E+01 -0.556851E+01
-0.211059E+01 -0.556987E+01
-0.211227E+01 -0.557189E+01
-0.211394E+01 -0.557362E+01
